LAM025 Audio Description for Film and TV,LAM025,AALANG
LAM026 Theory and Practice of Translation Audio Guides for Art Galleries,LAM026,AALANG
LAM027 Principles of Screenwriting and the Translation of Screenplays,LAM027,AALANG
LAM028 Audiovisual Project Management,LAM028,AALANG
LAM029 Research Methodology and Dissertation,LAM029,AALANG
MS3109 Applied Systems Thinking,MS3109,BBUGPR
MS3003 Managing Risk & Uncertainty,MS3003,BBUGPR
MBM542 New Venture Creation Process EMBA,MBM542 EMBA,BBMBAB
IP3017 International Politics Project,IP3017,SSIPOL
INM381 Service Orientated Architecture,INM381,IISOIN
IN3040 Project Management,IN3040,IISOIN
MBM408 Mba Block 3: Integration Week,MBM408 INT,BBMBAB
SGM247 Penology,SGM247,SSSOCL
JOM864 Corporate Reporting,JOM864,AAJOUR
EC2019 Global Financial Markets,EC2019,SSECON
JOM845 Online Journalism (Newspaper),JOM845N,AAJOUR
PS3021 Coaching Psychology: Theory, Research and Practice,PS3021,SSPSYC
BACI: Module Support Y3,Module Support 3,AASOAR
IF1201 Introduction to Visual Basic/A&F/BIF/BUS,IF1201 AFBIFBS,BBUGPR
BS3214 Corporate Social Responsibility,BS3214,BBUGPR
SMM404 Job Interview Skills/CASS,SMM404,BBMSCB
MBM109 Innovation & New Product Development MEMBA,MBM109M,BBMBAB
MBM140 Mergers & Acquisitions MEMBA,MBM140,BBMBAB
MBM536 Strategy Project/FTMBA,MBM536 FTMBA,BBMBAB
EE1500 Engineering Practice,EE1500,EESEMS
EE1502 Electronic Circuit Design 1,EE1502,EESEMS
EE1501 Digital Logic,EE1501,EESEMS
EE2503 Biomedical Optics 1,EE2503,EESEMS
EE1504 Systems, Modelling & Control,EE1504,EESEMS
